id,Shipper_ID,Shipper_Name,Tracking_ID,Order_Granular_Status,Delivery_Type_Name,Service_Type,Service_Level,Parcel_Size_ID,Original_Weight,Create_Time,Delivery_Date,Gender,L1_Name,To_Postcode, Actual_delivery_fee, cod_collected, cod_fee, insured_value, insurance_fee, SST , Total_Charge,Country,created_at,updated_at
,690929,1,NVMY34535000011049,1,1,1,1,1,1,6/20/2024 16:28,4/18/2024,1,Negeri Sembilan,73200,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011081,1,1,1,1,1,1,6/21/2024 16:28,4/18/2024,1,Selangor,53300,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011066,1,1,1,1,1,1,6/22/2024 16:28,4/18/2024,1,Negeri Sembilan,71800,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011072,1,1,1,1,1,1,6/23/2024 16:28,4/18/2024,1,Terengganu,21400,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000010976,1,1,1,1,1,1,6/24/2024 16:28,4/18/2024,1,Kedah,9300,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011033,1,1,1,1,1,1,6/25/2024 16:28,4/18/2024,1,Kuala Lumpur,43300,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011026,1,1,1,1,1,1,6/26/2024 16:28,4/18/2024,1,Kelantan,16300,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011060,1,1,1,1,1,1,6/27/2024 16:28,4/18/2024,1,Pahang,28050,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011008,1,1,1,1,1,1,6/28/2024 16:28,4/18/2024,1,Terengganu,21020,7, -   , -   , -   , -   ,0.42,7.42,1,,
,690929,1,NVMY34535000011090,1,1,1,1,1,2,6/29/2024 16:28,4/18/2024,1,Terengganu,24060,7.8, -   , -   , -   , -   ,0.47,8.27,1,,
,690929,1,NVMY34535000011075,1,1,1,1,1,10,6/30/2024 16:28,4/18/2024,0,Pahang,39100,14.2, -   , -   , -   , -   ,0.85,15.05,1,,
